Date,Close,High,Low,Open,Volume,Bid,Ask
2023-03-31,162.54518127441406,162.64375926608275,159.59788883873148,160.120319104618,68749800,162.46390868377685,162.62645386505127
2023-04-03,163.79702758789062,163.91530912930577,161.87487733545584,161.92416632467473,56976200,163.7151290740967,163.87892610168456
2023-04-04,163.26478576660156,164.4574983782598,162.75220722625122,164.22093523724538,46278300,163.18315337371828,163.34641815948484
2023-04-05,161.42147827148438,162.69306530915642,159.48947577581393,162.38749456021097,51511700,161.34076753234865,161.5021890106201
2023-04-06,162.30862426757812,162.60434321282244,159.686606015777,160.1104583059446,45390100,162.22746995544435,162.3897785797119
2023-04-10,159.71617126464844,159.71617126464844,157.7940207437735,159.11488161033475,47716900,159.63631317901613,159.79602935028075
2023-04-11,158.5037384033203,160.04145880285023,158.21787125365222,160.03160702009572,47644200,158.42448653411867,158.58299027252195
2023-04-12,157.81375122070312,159.74575366976245,157.49831365463328,158.9177526201656,50133100,157.7348443450928,157.89265809631345
2023-04-13,163.19577026367188,163.43234843413578,159.11489082873655,159.3218986080038,68445600,163.11417237854005,163.2773681488037
2023-04-14,162.8507843017578,163.94493394539444,161.48063430124813,162.23962776220338,49386500,162.76935890960695,162.93220969390867
2023-04-17,162.87046813964844,163.02818690758198,161.68760746192598,162.73246797792896,41516200,162.7890329055786,162.95190337371827
2023-04-18,164.0927734375,165.01935243982652,163.2844759960185,163.72806193096773,49923000,164.01072705078127,164.17481982421873
2023-04-19,165.2362060546875,165.7586363174907,163.17604035173306,163.43233711220313,47720200,165.15358795166017,165.31882415771483
2023-04-20,164.2702178955078,165.47279739564374,163.19578679746758,163.71821714939145,52456400,164.18808278656007,164.35235300445555
2023-04-21,162.66348266601562,164.07305473489896,162.14105238473394,162.69305305620966,58337300,162.58215092468262,162.74481440734863
2023-04-24,162.9690399169922,163.23518844762253,161.5496011414824,162.64375061086378,41949600,162.8875553970337,163.05052443695067
2023-04-25,161.4313201904297,163.93504162144998,161.3918829793584,162.83104036567903,48714100,161.3506045303345,161.51203585052488
2023-04-26,161.42147827148438,162.91977666468185,160.47519563222698,160.73147738017352,45498800,161.34076753234865,161.5021890106201
2023-04-27,166.00506591796875,166.1529178634098,162.83104713478986,162.83104713478986,64902300,165.92206338500978,166.08806845092772
2023-04-28,167.25694274902344,167.42452836533985,165.48265898999023,166.08394872105114,55275900,167.17331427764893,167.34057122039795
2023-05-01,167.168212890625,168.01593249804148,166.2317821133474,166.86264216717663,52472900,167.0846287841797,167.2517969970703
2023-05-02,166.13319396972656,167.91735928630777,165.14747425578494,167.6610625345139,48425700,166.0501273727417,166.2162605667114
2023-05-03,165.0587615966797,168.47921017635485,164.77290950021637,167.07949000013943,65136000,164.97623221588137,165.141290977478
2023-05-04,163.42245483398438,164.65460440159984,161.96359395737636,162.53531316165655,81235400,163.3407436065674,163.50416606140135
2023-05-05,171.0913848876953,171.8109560965244,168.32149974515366,168.5383592942621,113453200,171.00583919525147,171.17693058013916
2023-05-08,171.0223846435547,171.36739258858663,169.65223472844943,170.0169462399646,55962800,170.9368734512329,171.10789583587646
2023-05-09,169.3170928955078,171.06180609803263,169.14952233576255,170.57881302608763,45326900,169.23243434906007,169.40175144195555
